S4_GelataTuber_up	S5_GelataTuber_up	S6_GelataTuber_up	S7_GelataTuber_basal	S8_GelataTuber_basal	S9_GelataTuber_basal
GelC01G00192	4.50784779492159	4.66710751112483	4.35490137076225	4.71856427450093	5.08960886617924	5.04039860477866
GelC01G00193	8.38806164068817	8.42753461238138	8.2383182796481	8.79839543882453	8.71420259383781	8.65101447698903
GelC01G00194	4.61009715143022	4.21320608140164	4.82942027031236	3.82459698022968	3.36031445000847	3.81783439738948
GelC01G00195	2.05709634804852	1.68641082380956	1.80098356153028	2.00159519913029	2.14573294375309	2.10665757206591
GelC01G00196	4.32448938464008	3.89893209241918	4.4147163034611	4.5610954897255	4.34669643920487	4.70332971397925
GelC01G00197	7.40231416926537	7.40105571839636	7.38691658555415	7.4510106432719	7.54077511675894	7.36586072807877
GelC01G00198	3.92899055690915	3.38956072338005	4.98746420107767	4.60479594937826	4.18026378377286	3.57859251809133
GelC01G00201	0.307207125615469	-0.745707058665339	-0.48864846235804	1.3518770816248	1.14293639003005	1.34698400952687
GelC01G00202	0.532246441084945	0.488719004450721	1.87098402425238	0.138099943204526	0.681403792875104	0.967972295995802
GelC01G00204	7.52681691295966	7.67468063354007	7.3536842177339	6.7427523774723	6.65186553106086	6.62544699085613
GelC01G00206	4.00603079606838	3.47054635696523	4.13070382053825	1.24546031417082	2.20998474758194	2.34781710829436
GelC01G00209	3.41094133311724	3.71172947707487	3.68253820155788	2.78835072288322	2.5449565390609	2.89556788750192
GelC01G00210	5.49505051092076	5.65585806358859	5.20634765658946	4.7674529321094	4.58339462875024	5.01440105384619
GelC01G00211	2.19510105418711	2.38835682680265	2.43035158167784	1.93467769886899	1.49205888031997	1.34698400952687
GelC01G00213	1.64021968898736	2.14691069752504	2.90094623547569	5.67277739329912	6.10254048654472	5.78768461442706
GelC01G00214	3.49352333982995	3.91830868949341	4.10188176996361	5.86922666148788	5.89833856986554	5.65935337807291
GelC01G00215	2.38012681445968	2.93660509471121	2.52022945298578	2.99952827464535	2.27149662747124	2.55437902925795
GelC01G00216	1.0515718199927	0.68248710714387	2.2318245447355	-0.121931227096115	0.263794268952551	0.229561022068037
GelC01G00217	4.55987813438356	4.62054864982441	4.35490137076225	5.43927486472578	5.6077021884148	5.26280943055046
GelC01G00218	4.18235189795264	4.3190488206839	4.39108708440987	4.97318172134125	5.08960886617924	5.13994286709529
GelC01G00220	4.85882220752642	4.89935473992935	4.93940031521344	4.63672395495749	4.44341184214625	4.45537168668479
GelC01G00221	5.41961580720139	5.77755685201028	5.52133536091508	4.60479594937826	4.66588543838685	4.67041133599047
GelC01G00222	1.64021968898736	1.68641082380956	2.28407562390375	2.93251257093977	2.49425480406511	2.89556788750192
GelC01G00223	4.52103235263109	4.77732692810352	4.35490137076225	4.93944539458459	5.0374442190035	5.24801129021051
GelC01G00224	2.12774822176221	1.77410413993219	1.18388507426881	2.71048122998073	1.8556053384803	2.34781710829436
GelC01G00225	6.27953516667057	6.10799358157734	6.31984635107777	5.85119629827068	5.9742980527557	5.99243932427634
GelC01G00226	3.71620677556054	3.71172947707487	3.77672532875181	3.2946010691998	3.71051619120429	3.17130141306599
GelC01G00227	6.92783532957292	6.96401848505532	6.7402600365141	6.67517975272844	6.83618919566908	6.60526850410993
GelC01G00228	3.98715297714469	4.01147022669802	3.4277099716515	4.57214532906096	4.19621282149162	4.26269900041642
GelC01G00229	5.59194508795695	5.44492190654012	5.66618446589497	5.18233858647014	5.43027276376015	5.64247857259163
GelC01G00230	5.81172561224674	5.79338432723072	6.27213528903358	5.786254052682	5.89345564584471	5.93354286049955
GelC01G00231	4.79512789518923	4.76667627734844	3.84788396603608	5.762333225837	5.50260098590808	5.04896138060064
GelC01G00232	7.67572453606222	7.65026305327412	7.90039303626664	7.98517527766812	7.98366437429398	8.10762625606074
GelC01G00233	1.0515718199927	1.14406025766093	1.64988741274034	2.3991471197168	1.59188753689257	1.73439923904269
GelC01G00234	4.83790167335809	4.85981463720586	4.65190847765475	5.29999793976585	5.49617349933966	5.49986535895243
GelC01G00235	2.69131980587054	2.14691069752504	4.61158284572374	-2.37359577926673	-1.34191118956225	-0.774059528000517
GelC01G00236	7.48705813002703	7.64300205165087	6.4570330328645	4.93088658995575	5.13995299027695	4.69244016496616
GelC01G00237	0.307207125615469	0.264827855639086	2.12127771788096	1.24546031417082	-0.326326078217254	-0.774059528000517
GelC01G00238	4.06122590518429	4.09897906592497	5.35420598049039	2.54087209975248	1.14293639003005	2.10665757206591
